species,gene_names,description,term_ids
osa,CMS-54257|cms-54257|CYTOPLASMIC MALE STERILITY 54257|Cytoplasmic mutant induced by somaclonal variation, anther,GO:0000001|GO:0007275|TO:0000232|PO:0009066
osa,CMS-JP|CMS-AK|[cms-ak]([cms-jp])|cms-jp|cms-ak|CYTOPLASMIC MALE STERILITY AK|Akebono' cytoplasm|'Akebono' cytoplasm, anther,GO:0000001|GO:0007275|TO:0000232|PO:0009066
osa,CMS-ARC|cms-ARC|cms-ARC] [mt|CYTOPLASMIC MALE STERILITY ARC|ARC13829-16 cytoplasm|`ARC13829-26' cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stage,GO:0007275|TO:0000232|PO:0009082|PO:0020048
osa,CMS-BO|cms-bo|CYTOPLASMIC MALE STERILITY BO|Chinsurah boro II' cytoplasm|`Chinsurah boro 2' cytoplasm|'Chinsurah boro II' cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stage X52160 urfrmc chimeric atp6,GO:0007275|GO:0005739|TO:0000232|PO:0009082|PO:0020048
osa,CMS-CW|cms-CW|CYTOPLASMIC MALE STERILITY CW|Chinese wild rice cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stage,GO:0007275|TO:0000232|PO:0009082|PO:0020048
osa,CMS-GAM|cms-GAM|CYTOPLASMIC MALE STERILITY GAM|Gambiaca cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stage,GO:0007275|TO:0000232|PO:0009082|PO:0020048
osa,CMS-HL|cms-HL|CYTOPLASMIC MALE STERILITY HL|HL group cytoplasm|HL-group cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stage,GO:0007275|TO:0000232|PO:0009082|PO:0020048
osa,CMS-IR66707A|cms-IR66707A|CYTOPLASMIC MALE STERILITY IR66707A|Oryza perennis Acc104823 cytoplasm|Oryza perennis Acc. 104823 cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stage,GO:0007275|TO:0000232|PO:0009082|PO:0020048
osa,CMS-KALINGA-I|cms-Kalinga-I|CYTOPLASMIC MALE STERILITY KALINGA|Cytoplasmic controlled cold tolerance, microspore sensu Poaceae  PO0009006 shoot  PO0009005 root  PO0006318 floret sensu Poaceae GRO0007148 05booting stage  GRO0007047 02seedling Kalinga I cytoplasm,GO:0009409|GO:0007275|TO:0000232|TO:0000303|TO:0000280|PO:0009082|PO:0020048|PO:0009005|PO:0009006
osa,CMS-KHIABORO|cms-Khiaboro|CYTOPLASMIC MALE STERILITY KHIABORO|'Khiaboro' cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stage,GO:0007275|TO:0000232|PO:0009082|PO:0020048
osa,CMS-ID|cms-ld|CYTOPLASMIC MALE STERILITY ID|Lead rice' cytoplasm|'Lead rice' cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stage,GO:0007275|TO:0000232|PO:0009082|PO:0020048
osa,CMS-SP|cms-sp|CYTOPLASMIC MALE STERILITY SP|MS577A cytoplasm|`MS577A' cytoplasm|'MS577A' cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stage,GO:0007275|TO:0000232|PO:0009082|PO:0020048
osa,CMS-TA|cms-TA|CYTOPLASMIC MALE STERILITY TA|TA820' cytoplasm|`TA820' cytoplasm|'TA820' cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stage,GO:0007275|TO:0000232|PO:0009082|PO:0020048
osa,CMS-UR102|cms-UR102|CYTOPLASMIC MALE STERILITY UR102|UR102F' cytoplasm|`UR102F' cytoplasm|'UR102F' cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stage,GO:0007275|TO:0000232|PO:0009082|PO:0020048
osa,CMS-UR104|cms-UR104|CYTOPLASMIC MALE STERILITY UR104|UR104F' cytoplasm|`UR104F' cytoplasm|'UR104F' cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stage,GO:0007275|TO:0000232|PO:0009082|PO:0020048
osa,CMS-UR106|cms-UR106|CYTOPLASMIC MALE STERILITY UR106|UR106F' cytoplasm|`UR106F' cytoplasm|'UR106F' cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stage,GO:0007275|TO:0000232|PO:0009082|PO:0020048
osa,CMS-UR27|cms-UR27|CYTOPLASMIC MALE STERILITY UR27|UR27F' cytoplasm|`UR27F' cytoplasm|'UR27F' cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stage,GO:0007275|TO:0000232|PO:0009082|PO:0020048
osa,CMS-UR89|cms-UR89|CYTOPLASMIC MALE STERILITY UR89|UR89F' cytoplasm|`UR89F' cytoplasm|'UR89F' cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stage,GO:0007275|TO:0000232|PO:0009082|PO:0020048
osa,CMS-WA|cms-WA|CYTOPLASMIC MALE STERILITY WA|WA group cytoplasm|WA-group cytoplasm, microspore sensu Poaceae  PO0006318 floret sensu Poaceae GRO0007148 05booting stageWA derived from wild abortive a wild sterile plant found in Hainan Island China,GO:0007275|TO:0000232|PO:0009082|PO:0020048
osa,ACEF1|Ac ef1|Acef1|ACCELERATION OF HEADING EF 1|Acceleration of heading (ef1)|Acceleration of heading (fl21),A few days earlier heading than ef1 line when AC ef1 is combined with ef1  inflorescence GRO0007044 06heading stage,GO:0003700|TO:0000137|PO:0009049
osa,ACP3|Acp3|ACID PHOSPHATASE 3|Acid phosphatase3|Acid phosphatase 3|Acid phosphatase-3,L(ST=C). Variant is known only in wild taxa.,GO:0003993
osa,AE1|ae1|AMYLOSE EXTENDER 1|amylose extender1|amylose extender 1|amylose extender-1,High amylose mutant  endosperm GRO0007045 09mature grain stage,GO:0000271|GO:0007275|TO:0000587|TO:0000098|TO:0000196|TO:0000487|PO:0009089
osa,AE2|ae2(t)|ae2|AMYLOSE EXTENDER 2|amylose extender2|amylose extender 2|amylose extender-2,High amylose content more than 30 in whitecored grain  This mutant was induced by the gamma rays RGN44 High amylose mutant  endosperm GRO0007045 09mature grain stage,GO:0000271|GO:0007275|TO:0000196|TO:0000587|TO:0000487|TO:0000098|PO:0009089
osa,AGR1|agr1|AGRAVITROPISM 1|agravitropism1|agravitropism 1|agravitropism-1, embryo  PO0009005 root  PO0009025 leaf GRO0007047 02seedling  GRO0007043 01germination,GO:0009630|GO:0007275|GO:0009653|GO:0009790|TO:0000419|TO:0000043|TO:0000064|PO:0009005|PO:0009009|PO:0009025
osa,AM|Am(t)|Am|HIGH AMYLOSE|High amylose, endosperm GRO0007045 09mature grain stage,GO:0016051|TO:0000196|TO:0000098|PO:0009089
osa,ANA|Ana|AWN DEVELOPMENT A|Awn development-a,AWN DEVELOPMENT Awn development  seed  PO0006032 awn GRO0007044 06heading stage  GRO0007042 08dough stage  GRO0007045 09mature grain stage  GRO0007046 07milk stage,GO:0007275|TO:0000146|TO:0000072|PO:0006032|PO:0009010
