group_id,group_name
PWY-5272,abscisic acid degradation by glucosylation
OXIDATIVEPENT-PWY,pentose phosphate pathway (oxidative branch) I
PWY-5910,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
PWY-5120,geranylgeranyl diphosphate biosynthesis
PWY-5807,heptaprenyl diphosphate biosynthesis
PWY-102,gibberellin inactivation I (2&beta;-hydroxylation)
PWY-6624,salicylate glucosides biosynthesis III
PWY-7213,wogonin metabolism
PWY-3221,dTDP-L-rhamnose biosynthesis II
PWY-5041,<i>S</i>-adenosyl-L-methionine cycle II
PWY-5410,traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis
THISYNARA-PWY,superpathway of thiamine diphosphate biosynthesis III (eukaryotes)
PWY-2161,folate polyglutamylation
PWY-6066,IAA biosynthesis VII
PWY-5034,GA<sub>12</sub> biosynthesis
PWY-6845,nitric oxide biosynthesis (plants)
PWY-5868,simple coumarins biosynthesis
PWY-5957,L-nicotianamine biosynthesis
PWY-801,homocysteine and cysteine interconversion
PWY-2021,indole-3-acetate inactivation IV
PWY-5687,pyrimidine ribonucleotides interconversion
PWY-6927,chlorophyll <i>a</i> degradation II
NONMEVIPP-PWY,methylerythritol phosphate pathway I
PWY-7618,ricinoleate biosynthesis
PWY-6890,4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis
PWY-5123,"<i>trans, trans</i>-farnesyl diphosphate biosynthesis"
PWY-5859,eugenol and isoeugenol biosynthesis
PWY-6122,5-aminoimidazole ribonucleotide biosynthesis II
PWY-5173,superpathway of acetyl-CoA biosynthesis
PWY-5313,superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside)
ASPASN-ARA-PWY,superpathway of aspartate and asparagine biosynthesis
PWY4FS-7,phosphatidylglycerol biosynthesis I (plastidic)
PWY-4821,UDP-&alpha;-D-xylose biosynthesis
PWY-6233,jasmonoyl-amino acid conjugates biosynthesis II
PWY-6424,"26,27-dehydrozymosterol metabolism"
PWY-6663,plant sterol biosynthesis II
PWY-1186,L-homomethionine biosynthesis
