species,group_ids,gene_identifiers
ath,FSM,At1g01030|NGA3|TOP1|Ngatha
ath,EMB|FSM|OVP|SRF,At1g01040|SUS1|DCL1|SIN1|CAF|Abnormal Suspensor
ath,CDR|LIT,At1g01060|LHY|Late Elongated Hypocotyl
ath,IST|WAT,At1g01120|KCS1|3-Ketoacyl-CoA Synthase Defective
ath,OVP|SRF,At1g01280|CYP703A2|Cytochrome P450
ath,EMB,At1g01370|CENH3|Centromere-Specific Histone
ath,CHS,At1g01460|PIPK11|Phosphatidylinositol Phosphate Kinase
ath,NLS|GRS|IST,At1g01480|ACS2|Aminocyclopropane Carboxylate Synthase
ath,LEF|FSM,At1g01510|AN|Angustifolia
ath,SRL|ROT|LEF|MSL|STT|RTH|TCM|TMP,At1g01550|BPS1|Bypass
ath,SRF,At1g01690|PRD3|Putative Recombination Initiation Defect
ath,TMP,At1g01860|PFC1|Paleface
ath,ROT,At1g01950|ARK2|Armadillo Repeat Kinesin
ath,OVP,At1g02050|LAP6|PKSA|Less Adhesive Pollen
ath,SRF,At1g02065|SPL8|Squamosa Promoter Binding Protein-Like
ath,PIG|LIT,At1g02090|FUS5|COP15|Fusca
ath,MSL|PTH,At1g02120|VAD1|Vascular-Associated Death
ath,GAM,At1g02140|HAP1|MAGO|MEE63|Hapless
ath,IST|FSM|WAT,At1g02205|CER1|Eceriferum
ath,PIG,At1g02280|PPI1|TOC33|Plastid Protein Import
ath,LIT,At1g02340|HFR1|REP1|RSF1|Long Hypocotyl in Far-Red Light
ath,EMB,At1g02560|CLPP5|NCLPP1|NCLPP5|Clp Protease
ath,MSD,At1g02580|MEA|EMB173|FIS1|Medea
ath,GRS|ROT|LEF,At1g02730|ATCSLD5|SOS6|Cellulose Synthase Like
ath,EMB,At1g02780|EMB2386|Embryo Defective
ath,NUT,At1g02860|NLA|BAH1|Nitrogen Limitation Adaptation
ath,PIG|GRS,At1g02910|LPA1|Low PSII Accumulation
ath,CHS,At1g02970|WEE1|Arabidopsis wee1 Kinase Homolog
ath,PIG|GRS|HRM,At1g03000|PEX6|Peroxin
