species,unique_gene_identifiers,other_gene_identifiers,gene_models,descriptions,annotations,sources
zma,wcr1|Wcr1-reference,wandering carpel1,,2-seeded kernels,,MaizeGDB
zma,a1|a1-m2-8004::dSpm|GRMZM2G026930|Zm00001d044122|uniprot=P51108|ncbi=100286107,anthocyaninless1|bnl(a1)|DFR|FNR|gsy38(A1)|npi467|npi51|pco110172(456)|umc199(a1)|umc2174,GRMZM2G026930|Zm00001d044122,"A1 null transcript|No color in the aleurone, specifically no color due to anthocyanins.  In addition, lack of a1 transcript is confirmed.",,MaizeGDB
zma,pve1|pve1-M2|pve1-R|AC211276.4_FG008|Zm00001d013672|ncbi=103626037,cl12053_1|cl12053_1(383)|inverted formin-2-like|punctate|punctate vascular expression1,AC211276.4_FG008|Zm00001d013672,"aberrant seedling|first leaf is small, round and flat; second leaf is rolled, bent and weak.  Leaf tissue is thin, weak and yellow green.  Succeeding leaves fail to develop and seedling dies.",,MaizeGDB
zma,ubl1|ubl1-1|GRMZM2G156575|Zm00001d017432|ncbi=100275088,si945031h05(438)|si945031h05a,GRMZM2G156575|Zm00001d017432,"aberrant seedling|first leaf is small, round and flat; second leaf is rolled, bent and weak.  Leaf tissue is thin, weak and yellow green.  Succeeding leaves fail to develop and seedling dies.",,MaizeGDB
zma,bhlh10|bhlh10-1|bhlh10-2|GRMZM2G067654|Zm00001d045107|ncbi=103637976,Lotus japonicus roothairless1-like|lrl5|transcription factor bHLH82|ZmLRL5 (Lj-RHL1-LIKE5),GRMZM2G067654|Zm00001d045107,abnormal root hairs|root hairs fail to elongate,,MaizeGDB
zma,rboh1|rth5-1|rth5-2|rth5-3|rth5-4|GRMZM2G426953|Zm00001d042961|ncbi=778438,pco107390|pco107390(255)|roothair defective5|roothairless5|rth5|ZmrbohA,GRMZM2G426953|Zm00001d042961,abnormal root hairs|root hairs fail to elongate,,MaizeGDB
zma,rth1|rth1-1|rth1-2d|GRMZM2G099056|Zm00001d033303|ncbi=100502100,exocyst complex component SEC3A|IDPrth1|roothair defective1,GRMZM2G099056|Zm00001d033303,abnormal root hairs|root hairs fail to elongate,,MaizeGDB
zma,rth2,roothair defective2,,abnormal root hairs|root hairs fail to elongate,,MaizeGDB
zma,rth3|rth3-3|GRMZM2G377215|Zm00001d028826|ncbi=100279563,AY112035|roothair defective3,GRMZM2G377215|Zm00001d028826,abnormal root hairs|root hairs fail to elongate,,MaizeGDB
zma,rth6|rth6-1|rth6-2|rth6-3|rth6-4|rth6-5|rth6-6|GRMZM2G436299|Zm00001d030121|ncbi=103637736,cellulose synthase-like protein D1,GRMZM2G436299|Zm00001d030121,abnormal root hairs|root hairs fail to elongate,,MaizeGDB
